,Athens,Berlin,query
2021-11-19 18:00:00+01:00,7.959970791,3.93927698,2021-11-19 04:00:00+01:00
2021-11-19 19:00:00+01:00,11.18465875,4.429130911,2021-11-19 04:00:00+01:00
2021-11-19 20:00:00+01:00,10.95979516,7.334775615,2021-11-19 04:00:00+01:00
2021-11-19 21:00:00+01:00,11.19933904,8.938891642,2021-11-19 04:00:00+01:00
2021-11-19 22:00:00+01:00,1.506858665,0.816009416,2021-11-19 04:00:00+01:00
2021-11-19 23:00:00+01:00,1.472405989,0.036146503,2021-11-19 04:00:00+01:00
2021-11-20 00:00:00+01:00,6.781846036,6.074965786,2021-11-19 04:00:00+01:00
2021-11-20 01:00:00+01:00,9.13239296,0.638662084,2021-11-19 04:00:00+01:00
2021-11-20 02:00:00+01:00,0.936259657,0.378146531,2021-11-19 04:00:00+01:00
2021-11-20 03:00:00+01:00,6.048136252,4.910362928,2021-11-19 04:00:00+01:00
2021-11-20 04:00:00+01:00,4.726217796,1.835121317,2021-11-19 04:00:00+01:00
2021-11-20 05:00:00+01:00,11.24010086,9.898383875,2021-11-19 04:00:00+01:00
2021-11-20 06:00:00+01:00,9.881663766,2.979832135,2021-11-19 04:00:00+01:00
2021-11-20 07:00:00+01:00,7.959970791,3.93927698,2021-11-19 04:00:00+01:00
2021-11-20 08:00:00+01:00,11.18465875,4.429130911,2021-11-19 04:00:00+01:00
2021-11-20 09:00:00+01:00,10.95979516,7.334775615,2021-11-19 04:00:00+01:00
2021-11-20 10:00:00+01:00,11.19933904,8.938891642,2021-11-19 04:00:00+01:00
2021-11-20 11:00:00+01:00,1.506858665,0.816009416,2021-11-19 04:00:00+01:00
2021-11-20 12:00:00+01:00,1.472405989,0.036146503,2021-11-19 04:00:00+01:00
2021-11-20 13:00:00+01:00,6.781846036,6.074965786,2021-11-19 04:00:00+01:00
2021-11-20 14:00:00+01:00,9.13239296,0.638662084,2021-11-19 04:00:00+01:00
2021-11-20 15:00:00+01:00,0.936259657,0.378146531,2021-11-19 04:00:00+01:00
2021-11-20 16:00:00+01:00,6.048136252,4.910362928,2021-11-19 04:00:00+01:00
2021-11-20 17:00:00+01:00,4.726217796,1.835121317,2021-11-19 04:00:00+01:00
2021-11-20 18:00:00+01:00,11.24010086,9.898383875,2021-11-19 04:00:00+01:00
2021-11-20 19:00:00+01:00,9.881663766,2.979832135,2021-11-19 04:00:00+01:00
2021-11-20 20:00:00+01:00,7.959970791,3.93927698,2021-11-19 04:00:00+01:00
2021-11-20 21:00:00+01:00,11.18465875,4.429130911,2021-11-19 04:00:00+01:00
2021-11-20 22:00:00+01:00,10.95979516,7.334775615,2021-11-19 04:00:00+01:00
2021-11-20 23:00:00+01:00,11.19933904,8.938891642,2021-11-19 04:00:00+01:00
2021-11-21 00:00:00+01:00,1.506858665,0.816009416,2021-11-19 04:00:00+01:00
2021-11-21 01:00:00+01:00,1.472405989,0.036146503,2021-11-19 04:00:00+01:00
2021-11-21 02:00:00+01:00,6.781846036,6.074965786,2021-11-19 04:00:00+01:00
2021-11-21 03:00:00+01:00,9.13239296,0.638662084,2021-11-19 04:00:00+01:00
2021-11-21 04:00:00+01:00,0.936259657,0.378146531,2021-11-19 04:00:00+01:00
2021-11-21 05:00:00+01:00,6.048136252,4.910362928,2021-11-19 04:00:00+01:00
2021-11-21 06:00:00+01:00,4.726217796,1.835121317,2021-11-19 04:00:00+01:00
2021-11-21 07:00:00+01:00,11.24010086,9.898383875,2021-11-19 04:00:00+01:00
2021-11-21 08:00:00+01:00,4.944828759,4.043210832,2021-11-19 04:00:00+01:00
